Function Code;Modbus address;Object designation;WPMsystem;WPM 3;WPM 3i;Comments;Min. value;Max. value;Step size;Data type;Unit;Write/read (w/r);Coding
0x04;501;ACTUAL TEMPERATURE FE7;x;x;x;;;;;2;°C;r;
0x04;502;SET TEMPERATURE FE7;x;x;x;;;;;2;°C;r;
0x04;503;ACTUAL TEMPERATURE FEK;;x;x;;;;;2;°C;r;
0x04;504;SET TEMPERATURE FEK;;x;x;;;;;2;°C;r;
0x04;505;RELATIVE HUMIDITY;;x;x;;;;;2;%;r;
0x04;506;DEW POINT TEMPERATURE;;x;x;;-40;30;;2;°C;r;
0x04;507;OUTSIDE TEMPERATURE;x;x;x;;-60;80;;2;°C;r;
0x04;508;ACTUAL TEMPERATURE HK 1;x;x;x;;0;40;;2;°C;r;
0x04;509;SET TEMPERATURE HK 1;;;x;;0;65;;2;°C;r;
0x04;510;SET TEMPERATURE HK 1;x;x;;;0;40;;2;°C;r;
0x04;511;ACTUAL TEMPERATURE HK 2;x;x;x;;0;90;;2;°C;r;
0x04;512;SET TEMPERATURE HK 2;x;x;x;;0;65;;2;°C;r;
0x04;513;ACTUAL FLOW TEMPERATURE WP;x;x;x;MFG, if available;;;;2;°C;r;
0x04;514;ACTUAL FLOW TEMPERATURE NHZ;x;x;x;MFG, if available;;;;2;°C;r;
0x04;515;ACTUAL FLOW TEMPERATURE;x;x;x;;;;;2;°C;r;
0x04;516;ACTUAL RETURN TEMPERATURE;x;x;x;;0;90;;2;°C;r;
0x04;517;SET FIXED TEMPERATURE;x;x;x;;20;50;;2;°C;r;
0x04;518;ACTUAL BUFFER TEMPERATURE;x;x;x;;0;90;;2;°C;r;
0x04;519;SET BUFFER TEMPERATURE;x;x;x;;;;;2;°C;r;
0x04;520;HEATING PRESSURE;x;x;x;MFG, if available;;;;7;bar;r;
0x04;521;FLOW RATE;x;x;x;MFG, if available;;;;2;l/min;r;
0x04;522;ACTUAL TEMPERATURE;x;x;x;DHW;10;65;;2;°C;r;
0x04;523;SET TEMPERATURE;x;x;x;DHW;10;65;;2;°C;r;
0x04;524;ACTUAL TEMPERATURE FAN;x;x;x;Cooling;;;;2;K;r;
0x04;525;SET TEMPERATURE FAN;x;x;x;Cooling;7;25;;2;K;r;
0x04;526;ACTUAL TEMPERATURE AREA;x;x;x;Cooling;;;;2;K;r;
0x04;527;SET TEMPERATURE AREA;x;x;x;Cooling;;;;2;K;r;
0x04;528;COLLECTOR TEMPERATURE;;x;;Solar thermal;0;90;;2;°C;r;
0x04;529;CYLINDER TEMPERATURE;;x;;Solar thermal;0;90;;2;°C;r;
0x04;530;RUNTIME;;x;;Solar thermal;;;;6;h;r;
0x04;531;ACTUAL TEMPERATURE;x;x;;External heat source;10;90;;2;°C;r;
0x04;532;SET TEMPERATURE;x;x;;External heat source;;;;2;K;r;
0x04;533;APPLICATION LIMIT HZG;x;x;x;Lower heating limit;-40;40;;2;°C;r;
0x04;534;APPLICATION LIMIT WW;x;x;x;Lower DHW limit;-40;40;;2;°C;r;
0x04;535;RUNTIME;x;x;;External heat source;;;;6;h;r;
0x04;536;SOURCE TEMPERATURE;x;x;x;;;;;2;°C;r;
0x04;537;MIN SOURCE TEMPERATURE;x;x;x;;-10;10;;2;°C;r;
0x04;538;SOURCE PRESSURE;x;x;x;;;;;7;bar;r;
0x04;539;HOT GAS TEMPERATURE;;;x;;;;;2;°C;r;
0x04;540;HIGH PRESSURE;;;x;;;;;2;bar;r;
0x04;541;LOW PRESSURE;;;x;;;;;2;bar;r;
0x04;542;RETURN TEMPERATURE HP1;x;x;;Heat pump 1;;;;2;°C;r;
0x04;543;FLOW TEMPERATURE HP1;x;x;;Heat pump 1;;;;2;°C;r;
0x04;544;HOT GAS TEMPERATURE HP1;x;x;;Heat pump 1;;;;2;°C;r;
0x04;545;LOW PRESSURE HP1;x;x;;Heat pump 1;;;;7;bar;r;
0x04;546;MEAN PRESSURE HP1;x;x;;Heat pump 1;;;;7;bar;r;
0x04;547;HIGH PRESSURE HP1;x;x;;Heat pump 1;;;;7;bar;r;
0x04;548;WP WATER FLOW RATE HP1;x;x;;Heat pump 1;;;;2;l/min;r;
0x04;549;RETURN TEMPERATURE HP2;x;x;;Heat pump 2;;;;2;°C;r;
0x04;550;FLOW TEMPERATURE HP2;x;x;;Heat pump 2;;;;2;°C;r;
0x04;551;HOT GAS TEMPERATURE HP2;x;x;;Heat pump 2;;;;2;°C;r;
0x04;552;LOW PRESSURE HP2;x;x;;Heat pump 2;;;;7;bar;r;
0x04;553;MEAN PRESSURE HP2;x;x;;Heat pump 2;;;;7;bar;r;
0x04;554;HIGH PRESSURE HP2;x;x;;Heat pump 2;;;;7;bar;r;
0x04;555;WP WATER FLOW RATE HP2;x;x;;Heat pump 2;;;;2;l/min;r;
